,year_month,variable,value
0,2019-02-01,avg_base_passenger_fare,15.736706409740428
1,2019-03-01,avg_base_passenger_fare,15.434935077087978
2,2019-04-01,avg_base_passenger_fare,16.269107096201605
3,2019-05-01,avg_base_passenger_fare,17.74324792982842
4,2019-06-01,avg_base_passenger_fare,18.532255993834017
5,2019-07-01,avg_base_passenger_fare,17.669069013316136
6,2019-08-01,avg_base_passenger_fare,17.879416807435383
7,2019-09-01,avg_base_passenger_fare,18.296831762812662
8,2019-10-01,avg_base_passenger_fare,18.189372292384636
9,2019-11-01,avg_base_passenger_fare,17.203188183833834
10,2019-12-01,avg_base_passenger_fare,18.52250172895182
11,2020-01-01,avg_base_passenger_fare,17.030472300151686
12,2020-02-01,avg_base_passenger_fare,16.568927156342383
13,2020-03-01,avg_base_passenger_fare,16.341228621618843
14,2020-04-01,avg_base_passenger_fare,16.368598610377816
15,2020-05-01,avg_base_passenger_fare,17.546389095623045
16,2020-06-01,avg_base_passenger_fare,19.5322425340594
17,2020-07-01,avg_base_passenger_fare,19.372930424648114
18,2020-08-01,avg_base_passenger_fare,18.358616154343878
19,2020-09-01,avg_base_passenger_fare,18.041642019603884
20,2020-10-01,avg_base_passenger_fare,18.13176602283135
21,2020-11-01,avg_base_passenger_fare,18.158504927551995
22,2020-12-01,avg_base_passenger_fare,17.64160638184737
23,2021-01-01,avg_base_passenger_fare,17.182154943588724
24,2021-02-01,avg_base_passenger_fare,19.127243006896894
25,2021-03-01,avg_base_passenger_fare,19.675643201383505
26,2021-04-01,avg_base_passenger_fare,21.304743648362678
27,2021-05-01,avg_base_passenger_fare,22.611324741487444
28,2021-06-01,avg_base_passenger_fare,23.767829261499582
29,2021-07-01,avg_base_passenger_fare,23.380346003019913
30,2021-08-01,avg_base_passenger_fare,23.153742585894612
31,2021-09-01,avg_base_passenger_fare,24.003226328777007
32,2021-10-01,avg_base_passenger_fare,22.65555329778862
33,2021-11-01,avg_base_passenger_fare,22.63271365322152
34,2021-12-01,avg_base_passenger_fare,22.302429802695542
35,2022-01-01,avg_base_passenger_fare,19.64215427638892
36,2022-02-01,avg_base_passenger_fare,21.11283391196819
37,2022-03-01,avg_base_passenger_fare,22.424376627146927
38,2022-04-01,avg_base_passenger_fare,24.01283953998329
39,2022-05-01,avg_base_passenger_fare,25.52193947326246
40,2022-06-01,avg_base_passenger_fare,24.999869566054574
41,2022-07-01,avg_base_passenger_fare,23.456120732730515
42,2022-08-01,avg_base_passenger_fare,23.70571151296722
43,2022-09-01,avg_base_passenger_fare,25.294527467606326
44,2022-10-01,avg_base_passenger_fare,24.170268842123242
45,2019-02-01,sum_base_passenger_fare,315683445.00897616
46,2019-03-01,sum_base_passenger_fare,366934989.4164439
47,2019-04-01,sum_base_passenger_fare,352092127.4593991
48,2019-05-01,sum_base_passenger_fare,394792820.0752844
49,2019-06-01,sum_base_passenger_fare,388053913.44765615
50,2019-07-01,sum_base_passenger_fare,345766806.62968904
51,2019-08-01,sum_base_passenger_fare,317543627.5309266
52,2019-09-01,sum_base_passenger_fare,365782521.04231507
53,2019-10-01,sum_base_passenger_fare,383661317.7187028
54,2019-11-01,sum_base_passenger_fare,371073732.5038341
55,2019-12-01,sum_base_passenger_fare,403057787.52275234
56,2020-01-01,sum_base_passenger_fare,347468826.3618381
57,2020-02-01,sum_base_passenger_fare,359195584.7239619
58,2020-03-01,sum_base_passenger_fare,218417302.96973026
59,2020-04-01,sum_base_passenger_fare,70466211.37952791
60,2020-05-01,sum_base_passenger_fare,106620054.30871329
61,2020-06-01,sum_base_passenger_fare,147246037.01865566
62,2020-07-01,sum_base_passenger_fare,192647171.09882116
63,2020-08-01,sum_base_passenger_fare,203389196.89957413
64,2020-09-01,sum_base_passenger_fare,218016140.33027834
65,2020-10-01,sum_base_passenger_fare,240150998.13915187
66,2020-11-01,sum_base_passenger_fare,210233613.5486892
67,2020-12-01,sum_base_passenger_fare,204920365.83869892
68,2021-01-01,sum_base_passenger_fare,204279241.49974936
69,2021-02-01,sum_base_passenger_fare,221505619.8191754
70,2021-03-01,sum_base_passenger_fare,279268897.99066895
71,2021-04-01,sum_base_passenger_fare,299694276.3011344
72,2021-05-01,sum_base_passenger_fare,331927916.03410804
73,2021-06-01,sum_base_passenger_fare,354184269.9630386
74,2021-07-01,sum_base_passenger_fare,350376462.3804962
75,2021-08-01,sum_base_passenger_fare,334861905.1444617
76,2021-09-01,sum_base_passenger_fare,356137693.28526545
77,2021-10-01,sum_base_passenger_fare,373857794.55385435
78,2021-11-01,sum_base_passenger_fare,362020281.17542654
79,2021-12-01,sum_base_passenger_fare,357137863.2170636
80,2022-01-01,sum_base_passenger_fare,289154667.29846865
81,2022-02-01,sum_base_passenger_fare,337539553.12537324
82,2022-03-01,sum_base_passenger_fare,413189141.89913356
83,2022-04-01,sum_base_passenger_fare,425604576.5459245
84,2022-05-01,sum_base_passenger_fare,462455322.8467816
85,2022-06-01,sum_base_passenger_fare,443563685.7574625
86,2022-07-01,sum_base_passenger_fare,408944704.84547794
87,2022-08-01,sum_base_passenger_fare,406558760.3467085
88,2022-09-01,sum_base_passenger_fare,449246009.8356964
89,2022-10-01,sum_base_passenger_fare,465750155.62619823
90,2019-02-01,avg_tolls,0.765355485509191
91,2019-03-01,avg_tolls,0.7805259500485149
92,2019-04-01,avg_tolls,0.8276682470393749
93,2019-05-01,avg_tolls,0.8668344067714576
94,2019-06-01,avg_tolls,0.8722745073771949
95,2019-07-01,avg_tolls,0.8411815962246086
96,2019-08-01,avg_tolls,0.8616718972342539
97,2019-09-01,avg_tolls,0.889550281087409
98,2019-10-01,avg_tolls,0.8914989733983234
99,2019-11-01,avg_tolls,0.8511285802764679
100,2019-12-01,avg_tolls,0.8861884474690185
101,2020-01-01,avg_tolls,0.8434997696986428
102,2020-02-01,avg_tolls,0.8479233726484994
103,2020-03-01,avg_tolls,0.7929452588965304
104,2020-04-01,avg_tolls,0.5667235142343975
105,2020-05-01,avg_tolls,0.6435070889083272
