,year_month,variable,value
0,2014-01-01,avg_total_fare,13.790322342286043
1,2014-02-01,avg_total_fare,13.916957933055297
2,2014-03-01,avg_total_fare,14.019645602486358
3,2014-04-01,avg_total_fare,14.343971972579652
4,2014-05-01,avg_total_fare,14.957756485167053
5,2014-06-01,avg_total_fare,14.95624898080806
6,2014-07-01,avg_total_fare,14.747527047973461
7,2014-08-01,avg_total_fare,14.863489022088586
8,2014-09-01,avg_total_fare,14.931663409146811
9,2014-10-01,avg_total_fare,14.70595101387183
10,2014-11-01,avg_total_fare,14.458933734009252
11,2014-12-01,avg_total_fare,14.355913283849063
12,2015-01-01,avg_total_fare,14.1012798018262
13,2015-02-01,avg_total_fare,14.42416346262724
14,2015-03-01,avg_total_fare,14.501770464383771
15,2015-04-01,avg_total_fare,14.772317054735035
16,2015-05-01,avg_total_fare,15.211025138492214
17,2015-06-01,avg_total_fare,14.92201577071579
18,2015-07-01,avg_total_fare,14.89649717073183
19,2015-09-01,avg_total_fare,15.072653625293674
20,2015-08-01,avg_total_fare,14.946336570461701
21,2015-10-01,avg_total_fare,14.922930262976026
22,2015-11-01,avg_total_fare,14.722146991050952
23,2015-12-01,avg_total_fare,14.69549157422332
24,2016-01-01,avg_total_fare,14.392196919946285
25,2016-02-01,avg_total_fare,14.23930774862695
26,2016-03-01,avg_total_fare,14.50430801899206
27,2016-04-01,avg_total_fare,14.772503921783414
28,2016-06-01,avg_total_fare,15.094879985313673
29,2016-05-01,avg_total_fare,15.105506766981618
30,2016-08-01,avg_total_fare,14.882470439095698
31,2016-07-01,avg_total_fare,14.966186680545922
32,2016-09-01,avg_total_fare,14.937858151035584
33,2016-10-01,avg_total_fare,14.633175054499107
34,2016-11-01,avg_total_fare,14.289435143361562
35,2016-12-01,avg_total_fare,14.022513153263223
36,2017-01-01,avg_total_fare,13.668403674356192
37,2017-03-01,avg_total_fare,13.85311077915925
38,2017-02-01,avg_total_fare,13.838128357176805
39,2017-04-01,avg_total_fare,14.145737473338086
40,2017-05-01,avg_total_fare,14.404716393647766
41,2017-06-01,avg_total_fare,14.556103333025778
42,2017-07-01,avg_total_fare,14.527526776520267
43,2017-08-01,avg_total_fare,14.55856642474315
44,2017-09-01,avg_total_fare,14.905314683912557
45,2017-10-01,avg_total_fare,14.64590408513186
46,2017-11-01,avg_total_fare,14.427060680021128
47,2017-12-01,avg_total_fare,14.227585975601043
48,2018-01-01,avg_total_fare,14.066425356517016
49,2018-02-01,avg_total_fare,14.224988464474455
50,2018-03-01,avg_total_fare,14.99501604061068
51,2018-04-01,avg_total_fare,15.561004968184573
52,2018-05-01,avg_total_fare,16.199746043524154
53,2018-06-01,avg_total_fare,16.345665040630166
54,2018-07-01,avg_total_fare,16.154100204254952
55,2018-08-01,avg_total_fare,16.7624828910733
56,2018-09-01,avg_total_fare,17.412301701754522
57,2018-10-01,avg_total_fare,17.727293309208704
58,2018-11-01,avg_total_fare,17.611584004485085
59,2018-12-01,avg_total_fare,18.003894837762974
60,2019-01-01,avg_total_fare,18.175305026179682
61,2019-02-01,avg_total_fare,18.973919256948005
62,2019-03-01,avg_total_fare,18.69367787572542
63,2019-04-01,avg_total_fare,18.484009231664743
64,2019-05-01,avg_total_fare,18.140037265649465
65,2019-06-01,avg_total_fare,17.468165948838713
66,2019-07-01,avg_total_fare,17.29585641359565
67,2019-08-01,avg_total_fare,18.07584863034386
68,2019-09-01,avg_total_fare,18.53673146087377
69,2019-10-01,avg_total_fare,18.985538588135302
70,2019-11-01,avg_total_fare,18.239151672129942
71,2019-12-01,avg_total_fare,18.603478191189684
72,2020-01-01,avg_total_fare,18.910820414319215
73,2020-02-01,avg_total_fare,18.56220960263034
74,2020-03-01,avg_total_fare,16.721427932618344
75,2020-04-01,avg_total_fare,19.661452682692623
76,2020-05-01,avg_total_fare,21.477673128169794
77,2020-06-01,avg_total_fare,23.150917819636863
78,2020-07-01,avg_total_fare,24.397615540363535
79,2020-08-01,avg_total_fare,24.862410345863438
80,2020-09-01,avg_total_fare,23.721908738375667
81,2020-10-01,avg_total_fare,23.344772375148075
82,2020-11-01,avg_total_fare,23.520577155535094
83,2020-12-01,avg_total_fare,23.478324084078217
84,2021-01-01,avg_total_fare,23.73488370201786
85,2021-02-01,avg_total_fare,23.674299341102692
86,2021-03-01,avg_total_fare,23.934346417755687
87,2021-04-01,avg_total_fare,24.34937047521782
88,2021-05-01,avg_total_fare,23.90386045622799
89,2021-06-01,avg_total_fare,23.735248887927224
90,2021-07-01,avg_total_fare,24.393534070124783
91,2021-08-01,avg_total_fare,24.69653638410042
92,2021-09-01,avg_total_fare,25.394882383184544
93,2021-10-01,avg_total_fare,24.003050700463632
94,2021-11-01,avg_total_fare,23.830288794440037
95,2021-12-01,avg_total_fare,22.968048135066038
96,2022-01-01,avg_total_fare,17.01750055388623
97,2022-02-01,avg_total_fare,17.358804189931423
98,2022-03-01,avg_total_fare,17.898911593174976
99,2022-04-01,avg_total_fare,18.417627219932474
100,2022-05-01,avg_total_fare,19.3263173134311
101,2022-06-01,avg_total_fare,19.56003452345508
102,2022-07-01,avg_total_fare,19.18210853286684
103,2022-08-01,avg_total_fare,19.39446199424779
104,2022-09-01,avg_total_fare,20.3456799392062
105,2014-01-01,sum_total_fare,10768559.32999964
106,2014-02-01,sum_total_fare,13659591.629999306
107,2014-03-01,sum_total_fare,17764012.549998414
108,2014-04-01,sum_total_fare,18431372.84999806
109,2014-05-01,sum_total_fare,20913785.539995722
110,2014-06-01,sum_total_fare,19682378.789996464
111,2014-07-01,sum_total_fare,18475318.449997906
112,2014-08-01,sum_total_fare,19638979.40999543
113,2014-09-01,sum_total_fare,20000455.459996242
114,2014-10-01,sum_total_fare,21555424.1699948
115,2014-11-01,sum_total_fare,21983623.109994877
116,2014-12-01,sum_total_fare,23177751.199993867
117,2015-01-01,sum_total_fare,20869273.650391497
118,2015-02-01,sum_total_fare,22312219.19045342
119,2015-03-01,sum_total_fare,24512052.5805386
120,2015-04-01,sum_total_fare,24128231.110497978
